ID,Question,Options,Correct_Answers,Images,Answer_Link
196,"10%  of the population in a town is $HIV^+$ . A new diagnostic kit for $HIV$ detection is available, this kit correctly identifies $HIV^+$ individuals 95% of the time, and $HIV^-$ individuals 89% of the time. A particular patient is tested using this kit and is found to be positive. The probability that the individual is actually positive is_______",,['0.49'],,
197,X  is 1 km northeast of Y. Y is 1 km southeast of Z. W is 1 km west of Z. P is 1 km south of W. Q is 1 km east of P. What is the distance between X and Q in km?,A: $1$ | B: $\sqrt{2}$ | C: $\sqrt{3}$ | D: $2$,['C'],,
198,The total exports and revenues from the exports of a country are given in the two pie charts below.The pie chart for exports shows the quantity of each item as a percentage of the total quantity of exports. The pie chart for the revenues shows the percentage of the total revenue generated through export of each item. The total quantity of exports of all the items is 5 lakh tonnes and the total revenues are 250 crore rupees. What is the ratio of the revenue generated through export of Item  1 per kilogram to the revenue generated through export of Item 4 per kilogram?,A: 01:02 | B: 02:01 | C: 01:04 | D: 04:01,['D'],https://practicepaper.in/wp-content/uploads/GATE/CE/20142/q63.jpg,
199,"Moving into a world of big data will require us to change our thinking about the merits of exactitude. To apply the conventional mindset of measurement to the digital, connected world of the twenty-first century is to miss a crucial point. As mentioned earlier, the obsession with exactness is an artefact of the information-deprived analog era. When data was sparse, every data point was critical, and thus great care was taken to avoid letting any bias the analysis. From ""Big DATA"" Viktor Mayer-Schonberger and Kenneth Cukier The main point of the paragraph is:",A: The twenty-first century is a digital world | B: Big data is obsessed with exactness | C: Exactitude is not critical in dealing with big data | D: Sparse data leads to a bias in the analysis,['C'],,
200,"In a group of four children, Som is younger to Riaz. Shiv is elder to Ansu. Ansu is youngest in the group. Which of the following statements is/are required to find the eldest child in the group? Statements 1. Shiv is younger to  Riaz. 2. Shiv is elder to Som.",A: Statement 1 by itself determines the eldest child. | B: Statement 2 by itself determines the eldest child. | C: Statement 1 and 2 are both required to determine the eldest child. | D: Statement 1 and 2 are not sufficient to determine the eldest child.,['A'],,
201,The population of a new city is 5 million and is growing at 20% annually. How many years would it take to double at this growth rate?,A: 3-4 years | B: 4-5 years | C: 5-6 years | D: 6-7 years,['A'],,
202,"In any given year, the probability of an earthquake greater than Magnitude 6 occurring in the Garhwal Himalayas is 0.04. The average time between successive occurrences of such earthquakes is ________ years.",,['25'],,
203,"Which of the following options is the closest in meaning to the sentence below? ""As a woman, I have no country"".",A: Women have no country. | B: Women are not citizens of any country. | C: Women's solidarity knows no national boundaries. | D: Women of all countries have equal legal rights.,['C'],,
204,"Choose the most appropriate word from the options given below to complete the following sentence. ____________ is the key to their happiness, they are satisfied with what they have.",A: Contentment | B: Ambition | C: Perseverance | D: Hunger,['A'],,
205,Choose the most appropriate word from the options given below to complete the following sentence. A person suffering from Alzheimer's disease ____________ short-term memory loss.,A: experienced | B: has experienced | C: is  experiencing | D: experiences,['D'],,
206,"The monthly rainfall chart based on 50 years of rainfall in Agra is shown in the following figure. Which of the following are true? (k percentile is the value such that k percent of the data fall below that value) br>i.  On average, it rains more in July than in December ii.  Every year, the amount of rainfall in August is more than that in January iii.  July rainfall can be estimated with better confidence than February rainfall iv.  In August, there is at least 500 mm of rainfall",A: (i) and (ii) | B: (i) and (iii) | C: (ii) and (iii) | D: (iii) and (iv),['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20141/q65.jpg,
207,"One percent of the people of country X are taller than 6 ft. Two percent of the people of country Y are taller than 6 ft. There are thrice as many people in country X as in country Y. Taking both countries together, what is the percentage of people taller than 6 ft?",A: 3 | B: 2.5 | C: 1.5 | D: 1.25,['D'],,
208,"The smallest angle of a triangle is equal to two thirds of the smallest angle of a quadrilateral. The ratio between the angles of the quadrilateral is 3:4:5:6. The largest angle of the triangle is twice its smallest angle. What is the sum, in degree, of the second largest angle of the triangle and the largest angle of the quadrilateral?",,['180'],,
209,"Anuj, Bhola, Chandan, Dilip, Eswar and Faisal live on different floors in a six-storeyed building (the ground floor is numbered 1, the floor above it 2,and so on). Anuj lives on an even-numbered floor.Bhola does not live on an odd numbered floor. Chandan does not live on any of the floors below Faisal?s floor. Dilip does not live on floor number 2. Eswar does not live on a floor immediately above or immediately below Bhola. Faisal lives three floors above Dilip. Which of the following floor-person combinations is correct? $\begin{array}{|c|c|c|c|c|c|c|} \hline & \text{Anuj} & \text{Bhola} & \text{Chandan} & \text{Dilip} & \text{Eswar} & \text{Faisal} \\ \hline (A) & 6 & 2 & 5 & 1 & 3 & 4 \\ \hline (B) & 2 & 6 & 5 & 1 & 3 & 4 \\ \hline (C) & 4 & 2 & 6 & 3 & 1 & 5 \\ \hline (D) & 2 & 4 & 6 & 1 & 3 & 5 \\ \hline \end{array}$",A: A | B: B | C: C | D: D,['B'],,
210,"Find the odd one in the following group: ALRVX, EPVZB, ITZDF, OYEIK",A: ALRVX | B: EPVZB | C: ITZDF | D: OYEIK,['D'],,
211,"A foundry has a fixed daily cost of Rs 50,000 whenever it operates and a variable cost of Rs 800Q, where Q is the daily production in tonnes. What is the cost of production in Rs per tonne for a daily production of 100 tonnes?",,['1300'],,
212,"If $y=5x^2+3$ , then the tangent at $x=0,y=3$","A: passes through $x=0,y=0$ | B: has a slope of +1 | C: is parallel to the x-axis | D: has a slope of -1",['C'],,
213,"Rajan was not happy that Sajan decided to do the project on his own. On observing his unhappiness, Sajan explained to Rajan that he preferred to work independently. Which one of the statements below is logically valid and can be inferred from the above sentences?",A: Rajan has decided to work only in a group. | B: Rajan and Sajan were formed into a group against their wishes. | C: Sajan had decided to give in to Rajan?s request to work with him. | D: Rajan had believed that Sajan and he would be working together.,['D'],,
214,Choose the most appropriate word from the options given below to complete the following sentence. One of his biggest ______ was his ability to forgive.,A: vice | B: virtues | C: choices | D: strength,['B'],,
215,"A student is required to demonstrate a high level of comprehension of the subject, especially in the social sciences. The word closest in meaning to comprehension is",A: understanding | B: meaning | C: concentration | D: stability,['A'],,
216,Abhishek is elder to Savar. Savar is younger to Anshul. Which of the given conclusions is logically valid and is inferred from the above statements?,A: Abhishek is elder to Anshul | B: Anshul is elder to Abhishek | C: Abhishek and Anshul are of the same age | D: No conclusion follows,['D'],,
217,"A firm is selling its product at Rs. 60 per unit. The total cost of production is Rs. 100 and firm is earning total profit of Rs. 500. Later, the total cost increased by 30%. By what percentage the price should be increased to maintain the same profit level.",A: 5 | B: 10 | C: 15 | D: 30,['A'],,
218,"Following table provides figures(in rupees) on annual expenditure of a firm for two years -2010 and 2011. $\begin{array}{|l|r|r|} \hline \textbf{Category} & \textbf{2010} &\textbf{2011 }\\ \hline \text{Raw material} & \text{5200} &\text{6240}\\\hline \text{Power and fuel} & \text{7000} &\text{9450}\\ \hline \text{Salary and wages} & \text{9000} &\text{12600}\\ \hline \text{Plant and machinery} & \text{20000} &\text{25000}\\ \hline \text{Advertising} & \text{15000} &\text{19500}\\\hline \text{Research and Development} & \text{22000} &\text{26400}\\ \hline \end{array}$ In 2011, which of the two categories have registered increase by same percentage?",A: Raw material and Salary & wages. | B: Salary & wages and Advertising. | C: Power & fuel and Advertising. | D: Raw material and research & Development.,['D'],,
219,If $| 4X-7 |=5$ then the values of $2|X|-|-X|$ is:,"A: 2,1/3 | B: 1/2,3 | C: 3/2,9 | D: 2/3,9",['B'],,
220,"$X$ and $Y$ are two positive real numbers such that $2X+Y \leq 6$ and $X+2Y \leq 8$ . For which of the following values of $(X,Y)$ the function $f(X,Y)=3X+6Y$ will give maximum value ?","A: $\left(\frac{4}{3} , \frac{10}{3}\right)$ | B: $\left(\frac{8}{3} , \frac{20}{3}\right)$ | C: $\left(\frac{8}{3} , \frac{10}{3}\right)$ | D: $\left(\frac{4}{3} , \frac{20}{3}\right)$",['A'],,
221,"Visualize a cube that is held with one of the four body diagonals aligned to the
vertical axis. Rotate the cube about this axis such that its view remains unchanged.
The magnitude of the minimum angle of rotation is",A: $60^{\circ}$ | B: $180^{\circ}$ | C: $120^{\circ}$ | D: $90^{\circ}$,['C'],,
222,"Five cubes of identical size and another smaller cube are assembled as shown in
Figure A. If viewed from direction X, the planar image of the assembly appears as
Figure B. If viewed from direction Y, the planar image of the assembly (Figure A) will
appear as",A: A | B: B | C: C | D: D,['A'],"https://practicepaper.in/wp-content/uploads/GATE/CE/20242/q64a.webp, https://practicepaper.in/wp-content/uploads/GATE/CE/20242/q64.webp",
223,"The plot below shows the relationship between the mortality risk of cardiovascular
disease and the number of steps a person walks per day. Based on the data, which
one of the following options is true?",A: The risk reduction on increasing the steps/ day from 0 to 10000 is less than the risk reduction on increasing the steps/day from 10000 to 20000. | B: The risk reduction on increasing the steps/ day from 0 to 5000 is less than the risk reduction on increasing the steps/day from 15000 to 20000. | C: For any 5000 increment in steps/day the largest risk reduction occurs on going from 0 to 5000 . | D: For any 5000 increment in steps/day the largest risk reduction occurs on going from 15000 to 20000.,['C'],https://practicepaper.in/wp-content/uploads/GATE/CE/20242/q63.webp,
224,"Seven identical cylindrical chalk-sticks are fitted tightly in a cylindrical container.
The figure below shows the arrangement of the chalk-sticks inside the cylinder. The length of the container is equal to the length of the chalk-sticks. The ratio of
the occupied space to the empty space of the container is",A: $5 / 2$ | B: $7 / 2$ | C: $9 / 2$ | D: $3$,['B'],https://practicepaper.in/wp-content/uploads/GATE/CE/20242/q62.webp,
225,"In the given text, the blanks are numbered (i)−(iv). Select the best match for
all the blanks. Yoko Roi stands ___(i)____ as an author for standing ___(ii)___ as an honorary
fellow, after she stood ___(iii)___ her writings that stand ___(iv)___ the freedom of
speech.",A: (i) out	(ii) down	(iii) in	(iv) for | B: (i) down	(ii) out	(iii) by	(iv) in | C: (i) down	(ii) out	(iii) for	(iv) in | D: (i) out	(ii) down	(iii) by	(iv) for,['D'],,
226,Select the pair that best expresses a relationship similar to that expressed in the pair: Medicine: Health,A: Science: Experiment | B: Wealth: Peace | C: Education: Knowledge | D: Money: Happiness,['C'],,
227,"Friendship, no matter how _________it is, has its limitations.",A: cordial | B: intimate | C: secret | D: pleasant,['B'],,
228,Which of the following options is the closest in meaning to the word given below: Primeval,A: Modern | B: Historic | C: Primitive | D: Antique,['C'],,
229,$\underset{I}{\underline{\text{The professor }}} \underset{II}{\underline{\text{ ordered to }}} \underset{III}{\underline{\text{ the student to go }}} \underset{IV}{\underline{\text{ out of the class}}}$ Which of the above underlined parts of the sentence is grammatically incorrect?,A: I | B: II | C: III | D: IV,['B'],,
230,A number is as much greater than 75 as it is smaller than 117. The number is:,A: 91 | B: 93 | C: 89 | D: 96,['D'],,
231,"An automobile plant contracted to buy shock absorbers from two suppliers X and Y. X supplies 60% and Y supplies 40% of the shock absorbers. All shock absorbers are subjected to a quality test. The ones that quality test are considered reliable. Of X?s shock absorbers, 96% are reliable. Of Y?s shock absorbers,72% are reliable. The probability that a randomly chosen shock absorber, which is found to be reliable, is made by Y is",A: 0.288 | B: 0.334 | C: 0.667 | D: 0.72,['B'],,
232,Which of the following assertions are CORRECT? P: Adding 7 to each entry in a list adds 7 to mean of the list Q: Adding 7 to each entry in a list adds 7 to the standard deviation of the list R: Doubling each entry in a list doubles the mean of the list S: Doubling each entry in a list leaves the standard deviation of the list unchanged,"A: P,Q | B: Q,R | C: P,R | D: R,S",['C'],,
233,"Given the sentence of terms, AD  CG   FK   JP, the next term is",A: OV | B: OW | C: PV | D: PW,['A'],,
234,"Wanted Temporary, Part-time persons for the post of Field Interviewer to conduct personal interviews to collect and collate economic data. Requirements: High School-pass, must be available for Day, Evening and Saturday work. Transportation paid, expenses reimbursed. Which one of the following is the best inference from the above advertisement?",A: Gender-discriminatory | B: Xenophobic | C: Not designed to make the post attractive | D: Not gender-discriminatory,['C'],,
235,A political party orders an arch for the entrance to the ground in which the annual convention is being held. The profile of the arch follows the equation $y=2x-0.1x^2$ where $y$ is the height of the arch in meters. The maximum possible height of the arch is,A: 8 meters | B: 10 meters | C: 12 meters | D: 14 meters,['B'],,
236,Which one of the following options is the closest in meaning to the word given below? Mitigate,A: Diminish | B: Divulge | C: Dedicate | D: Denote,['A'],,
237,Choose the grammatically INCORRECT sentence:,"A: They gave us the money back less the service charges of Three Hundred rupees. | B: This country's expenditure is not less than that of Bangladesh. | C: The committee initially asked for a funding of Fifty Lakh rupees, but later settled for a lesser sum. | D: This country's expenditure on educational reforms is very less.",['D'],,
238,Choose the most appropriate alternative from the options given below to complete the following sentence: Suresh's dog is the one __________ was hurt in the stampede.,A: that | B: which | C: who | D: whom,['A'],,
239,"The cost function for a  product in a firm is given by $5q^2$ ,where $q$ is the amount of production. The firm can sell the product at a market price of Rs.50 per unit. The number of units to be produced by the firm such that the profit is maximized is",A: 5 | B: 10 | C: 15 | D: 25,['A'],,
240,Choose the most appropriate alternative from the options given below to complete the following sentence: Despite several _________ the mission succeeded in its attempt to resolve the conflict.,A: attempts | B: setbacks | C: meetings | D: delegations,['B'],,
241,"The variable cost $(V)$ of manufacturing a product varies according to the equation $V= 4q$ , where $q$ is the quantity produced. The fixed cost $(F)$ of production of
same product reduces with $q$ according to the equation $F = 100/ q$ . How many
units should be produced to minimize the total cost $(V +F)$ ?",A: 5 | B: 4 | C: 7 | D: 6,['A'],,
242,"A transporter receives the same number of orders each day. Currently, he has
some pending orders (backlog) to be shipped. If he uses 7 trucks, then at the end
of the 4th day he can clear all the orders. Alternatively, if he uses only 3 trucks,
then all the orders are cleared at the end of the 10th day. What is the minimum
number of trucks required so that there will be no pending order at the end of
the 5th day?",A: 4 | B: 5 | C: 6 | D: 7,['C'],,
243,"A container originally contains 10 litres of pure spirit. From this container 1 litre
of spirit is replaced with 1 litre of water. Subsequently, 1 litre of the mixture is
again replaced with 1 litre of water and this process is repeated one more time.
How much spirit is now left in the container?",A: 7.58 litres | B: 7.84 litres | C: 7 litres | D: 7.29 litres,['D'],,
244,"Few school curricula include a unit on how to deal with bereavement and grief,
and yet all students at some point in their lives suffer from losses through death
and parting. Based on the above passage which topic would not be included in a unit on
bereavement?",A: how to write a letter of condolence | B: what emotional stages are passed through in the healing process | C: what the leading causes of death are | D: how to give support to a grieving friend,['C'],,
245,"P, Q, R and S are four types of dangerous microbes recently found in a human
habitat. The area of each circle with its diameter printed in brackets represents
the growth of a single microbe surviving human immunity system within 24 hours
of entering the body. The danger to human beings varies proportionately with the
toxicity, potency and growth attributed to a microbe shown in the figure below: A pharmaceutical company is contemplating the development of a vaccine against
the most dangerous microbe. Which microbe should the company target in its
first attempt?",A: P | B: Q | C: R | D: S,['A'],https://practicepaper.in/wp-content/uploads/GATE/CE/20111/q61.jpg,
246,"Choose the most appropriate word(s) from the options given below to complete
the following sentence. I contemplated ________ Singapore for my vacation but decided against it.",A: to visit | B: having to visi | C: visiting | D: for a visit,['C'],,
247,"Choose the most appropriate word from the options given below to complete the
following sentence. If you are trying to make a strong impression on your audience, you cannot do
so by being understated, tentative or _________.",A: hyperbolic | B: restrained | C: argumentative | D: indifferent,['B'],,
248,Choose the word from the options given below that is most nearly opposite in meaning to the given word: Amalgamate,A: merge | B: split | C: collect | D: separate,['D'],,
249,Which of the following options is the closest in the meaning to the word below: Inexplicable,A: Incomprehensible | B: Indelible | C: Inextricable | D: Infallible,['A'],,
250,"If $\log (P)=(1/2) \log (Q)=(1/3) \log (R)$ , then which of the following options is
TRUE?",A: $P^2=Q^3R^2$ | B: $Q^2=PR$ | C: $Q^2=R^3P$ | D: $R=P^2Q^2$,['B'],,
251,"The ratio of the number of girls to boys in class VIII is the same as the ratio of the number of boys to girls in class IX. The total number of students (boys and girls) in classes VIII and IX is 450 and 360, respectively. If the number of girls in classes VIII and IX is the same, then the number of girls in each class is",A: 150 | B: 200 | C: 250 | D: 175,['B'],,
252,"If the sum of the first 20 consecutive positive odd numbers is divided by $20^2$ , the
result is",A: 1 | B: 20 | C: 2 | D: 01-Feb,['A'],,
253,"A student was supposed to multiply a positive real number p with another positive
real number q. Instead, the student divided p by q. If the percentage error in the
student’s answer is 80%, the value of q is",A: 5 | B: $\sqrt{2}$ | C: 2 | D: $\sqrt{5}$,['D'],,
254,Statements: 1. All heroes are winners. 2. All winners are lucky people. Inferences: I. All lucky people are heroes. II. Some lucky people are heroes. III. Some winners are heroes. Which of the above inferences can be logically deduced from statements 1 and 2?,A: Only I and II | B: Only II and III | C: Only I and III | D: Only III,['B'],,
255,"If $\rightarrow$ denotes increasing order of intensity, then the meaning of the words
[drizzle $\rightarrow$ rain $\rightarrow$ downpour] is analogous to [ ______ $\rightarrow$ quarrel $\rightarrow$ feud]. Which one of the given options is appropriate to fill the blank?",A: bicker | B: bog | C: dither | D: dodge,['A'],,
256,"During a half-moon phase, the Earth-Moon-Sun form a right triangle. If the Moon-EarthSun angle at this half-moon phase is measured to be $89.85^{\circ}$ , the ratio of the Earth-Sun and Earth-Moon distances is closest to",A: 328 | B: 382 | C: 238 | D: 283,['B'],,
257,"In the $4 \times 4$ array shown below, each cell of the first three columns has either a cross (X) or a number, as per the given rule. $\begin{array}{|c|c|c|c|}
\hline 1 & 1 & 2 & \\
\hline 2 & X  & 3 & \\
\hline 2 & X  & 4 & \\
\hline 1 & 2 & X  & \\
\hline
\end{array}$ Rule: The number in a cell represents the count of crosses around its immediate neighboring cells (left, right, top. bottom, diagonals). As per this rule, the maximum number of crosses possible in the empty column is",A: 0 | B: 1 | C: 2 | D: 3,['C'],,
258,"The chart given below compares the Installed Capacity (MW) of four power generation technologies, T1, T2, T3 and T4 and their Electricity Generation (MWh) in a time of 1000 hours (h). The capacity factor of a power generation technology is: Capacity Factor $=\frac{\text { Electrivity Generation }(\mathrm{MM})}{\text { Installed Capacity }(\mathrm{MW}) \times 1000(\mathrm{~h})}$ Which one of the given technologies has the highest Capacity Factor?",A: T1 | B: T2 | C: T3 | D: T4,['A'],https://practicepaper.in/wp-content/uploads/GATE/CE/20241/q63.webp,
259,Three distinct sets of indistinguishable twins are to be seated at a circular table that has 8 identical chairs.. Unique seating arrangements are defined by the relative positions of the people. How many unique seating arrangements are possible such that each person is sitting next to their twin?,A: 12 | B: 14 | C: 10 | D: 28,['A'],,
260,"In the given text, the blanks are numbered (1)-(iv). Select the best match for all the blanks. From the ancient Athenian arena to the modern Olympic stadiums, athletics $\quad(i)$ the potential for a spectacle. The crowd $\quad(ii)$ with bated breath as the Olympian artist twists his body, stretching the javelin behind him. Twelve strides in, he begins to crossstep. Six cross-steps $\quad(iii)$ in an abrupt stop on his left foot. As his body $\quad(iv)$ like a door turning on a hinge, the javelin is launched skyward at a precise angle.",A: (i) hold  (ii) Waits (iii) culminates (iv) pivot | B: (i) holds (ii) wait (iii) culminates (iv) pivot | C: (i) hold  (ii) wait (iii) culminate (iv) pivots | D: (i) holds (ii) waits (iii) culminate (iv) pivots,['D'],,
261,"On a given day, how many times will the second-hand and the minute-hand of a clock cross each other during the clock time 12:05:00 hours to $12: 55: 00$ hours?",A: 51 | B: 49 | C: 50 | D: 55,['C'],,
262,"Which one of the given options is a possible value of $x$ in the following sequence? $3,7,15, x, 63,127,255$",A: 35 | B: 40 | C: 45 | D: 31,['D'],,
263,"For positive integers $\mathrm{p}$ and $\mathrm{q}$ , with $\frac{\mathrm{p}}{\mathrm{q}} \neq 1\left(\frac{p}{q}\right)^{\frac{p}{q}}=p^{\left(\frac{p}{q}-1\right)}$ . Then,",A: $q^p=p^q$ | B: $q^p=p^{2q}$ | C: $\sqrt{q}=\sqrt{p}$ | D: $\sqrt[p]{q}=\sqrt[q]{p}$,['A'],,
264,"In a locality, the houses are numbered in the following way: The house-numbers on one side of a road are consecutive odd integers starting from 301, while the house-numbers on the other side of the road are consecutive even numbers starting from 302 . The total number of houses is the same on both sides of the road. If the difference of the surn of the house-numbers between the two sides of the road is 27 , then the number of houses on each side of the rood is",A: 27 | B: 52 | C: 54 | D: 26,['A'],,
265,"If ' $\rightarrow$ ' denotes increasing order of intensity, then the meaning of the words [simmer $\rightarrow$ seethe $\rightarrow$ smolder] is analogous to [break $\rightarrow$ raze $\rightarrow$ 1. Which one of the given options is appropriate to fill the blank?",A: obfuscate | B: obliterate | C: fracture | D: fissure,['B'],,
266,"Consider a spherical globe rotating about an axis passing through its poles. There are three points $P$ , $\mathrm{Q}$ , and $\mathrm{R}$ situated respectively on the equator, the north pole, and midway between the equator and the north pole in the northern hemisphere. Let $P$ , $\mathrm{Q}$ , and $\mathrm{R}$ move with speeds $v_{P}, v_{Q}$ , and $v_{R}$ , respectively. Which one of the following options is CORRECT?",A: $v_{P} \lt v_{R} \lt v_{Q}$ | B: $v_{P} \lt v_{Q} \lt v_{R}$ | C: $v_{P}\gt v_{R} \gt v_{Q}$ | D: $v_{P}=v_{R} \neq v_{Q}$,['C'],,
267,"If $x$ satisfies the equation $4^{8^{x}}=256$ , then $x$ is equal to",A: $\frac{1}{2}$ | B: $\log _{16} 8$ | C: $\frac{2}{3}$ | D: $\log _{4} 8$,['C'],,
268,"Based only on the following passage, which one of the options can be inferred with certainty? When the congregation sang together, Apenyo would also join, though her little screams were not quite audible because of the group singing. But whenever there was a special number, trouble would begin; Apenyo would try singing along, much to the embarrassment of her mother. After two or three such mortifying Sunday evenings, the mother stopped going to church altogether until Apenyo became older and learnt to behave. At home too, Apenyo never kept quiet; she hummed or made up silly songs to sing by herself, which annoyed her mother at times but most often made her become pensive. She was by now convinced that her daughter had inherited her love of singing from her father who had died unexpectedly away from home. [Excerpt from These Hills Called Home by Temsula Ao]","A: The mother was embarrassed about her
daughter's singing at home. | B: The mother's feelings about her daughter's
singing at home were only of annoyance | C: The mother was not sure if Apenyo
had inherited her love of singing from her
father. | D: When Apenyo hummed at home, her mother
tended to become thoughtful.",['C'],,
269,Three husband-wife pairs are to be seated at a circular table that has six identical chairs. Seating arrangements are defined only by the relative position of the people. How many seating arrangements are possible such that every husband sits next to his wife?,A: 16 | B: 4 | C: 120 | D: 720,['A'],,
270,"Elvesland is a country that has peculiar beliefs and practices. They express almost
all their emotions by gifting flowers. For instance, if anyone gifts a white flower to
someone, then it is always taken to be a declaration of one's love for that person. In
a similar manner, the gifting of a yellow flower to someone often means that one is
angry with that person. Based only on the information provided above, which one of the following sets of
statement(s) can be logically inferred with certainty? (i) In Elvesland, one always declares one's love by gifting a white flower. (ii) In Elvesland, all emotions are declared by gifting flowers. (iii) In Elvesland, sometimes one expresses one's anger by gifting a flower that is
not yellow. (iv) In Elvesland, sometimes one expresses one's love by gifting a white flower.","A: only (ii) | B: (i), (ii) and (iii) | C: (i), (iii) and (iv) | D: only (iv)",['D'],,
